Age,Gender,Income,Occupation,Marital_Status,Household_Size,Weekly_Order_Frequency,Top_Priorities,Multi_Restaurant_Support,Flexible_Delivery_for_Freshness,Try_New_Food_Recommendations,Preferred_Cuisines,Wants_Personalised_Discounts,App_Frustrations,Sustainability_Importance,Importance_OnTime,Importance_DriverRating,Avg_Spend_Per_Order,Willing_To_Try_New_App,Max_Willingness_To_Pay,Likely_To_Recommend,Pay_Extra_For_Features,Order_Device,Delivery_Timing_Preference,Current_Satisfaction
25-34,Male,4–8K,Self-Employed,Other,2,6+,Customization,Yes,Yes,Sometimes,"Arabic, Japanese, Mexican",Yes,"Bad customer support, Lack of discounts, Poor packaging",Often,2,5,75–100,Maybe,150+,3,Yes,WhatsApp,Schedule,7
55+,Female,4–8K,Student,Married,5,1–2,"Healthy options, Discounts, Variety of restaurants",Yes,Yes,Often,"Mexican, Vegan, Italian",Yes,Poor packaging,Sometimes,4,5,50–75,Yes,75–100,2,Depends,Mobile App,Schedule,8
35-44,Female,25K+,Retired,Married,7,1–2,"Sustainability, Discounts, Variety of restaurants",Yes,Yes,Always,"Arabic, Italian",Yes,"Non-transparent pricing, Driver behavior, Poor packaging",Sometimes,3,2,25–50,Yes,50–75,3,Yes,WhatsApp,Schedule,6
35-44,Female,4–8K,Unemployed,Divorced,1,3–5,"Customization, Discounts",Yes,No,Often,"Fast Food, Vegan, Japanese",Yes,"Late delivery, Poor packaging, Bad customer support",Rarely,3,4,50–75,No,150+,5,Yes,Other,Schedule,7
25-34,Female,4–8K,Self-Employed,Divorced,1,1–2,"Customization, Sustainability, Low price",Yes,Yes,Sometimes,"Indian, Italian",Yes,"Late delivery, Cold food, Driver behavior",Sometimes,2,3,25–50,No,50–75,2,Yes,Mobile App,Depends,7
25-34,Female,15–25K,Employed,Divorced,2,3–5,"Sustainability, Discounts",Yes,Depends,Sometimes,"Fast Food, Japanese, Indian",No,"Non-transparent pricing, Bad customer support, Lack of discounts, Poor packaging",Sometimes,4,3,50–75,No,30–50,5,No,Mobile App,ASAP,9
18-24,Female,8–15K,Self-Employed,Divorced,5,0,"Fresh/hot food, Sustainability, Low price",Yes,Yes,Sometimes,"Italian, Fast Food, Japanese",Yes,Late delivery,Often,2,3,50–75,No,50–75,1,Yes,Website,Schedule,6
45-54,Female,15–25K,Self-Employed,Divorced,4,1–2,"Fresh/hot food, Discounts, Healthy options",Yes,Depends,Often,"Indian, Italian",Yes,"Cold food, Poor packaging, Driver behavior",Sometimes,3,3,50–75,Yes,30–50,4,Yes,Mobile App,Schedule,4
35-44,Male,4–8K,Employed,Single,6,3–5,"Healthy options, Customization",Yes,Yes,Always,"Mexican, Arabic, Vegan",No,Late delivery,Always,4,3,50–75,Yes,50–75,4,Yes,Phone Call,ASAP,5
35-44,Male,8–15K,Homemaker,Single,5,3–5,Variety of restaurants,Yes,No,Rarely,"Japanese, Indian, Chinese, Vegan",No,"Late delivery, Driver behavior, Non-transparent pricing",Rarely,5,5,50–75,No,100–150,3,No,Mobile App,ASAP,6
18-24,Male,0–4K,Homemaker,Other,3,3–5,"Fast delivery, Variety of restaurants, Healthy options",Yes,Yes,Never,"Japanese, Italian",Neutral,"Driver behavior, Lack of discounts, Poor packaging",Sometimes,4,3,10–25,Yes,75–100,4,Yes,Website,Schedule,5
55+,Prefer not to say,4–8K,Student,Married,1,3–5,Fresh/hot food,Yes,Yes,Often,"Japanese, Indian, Vegan, Arabic",Yes,"Limited restaurant choice, Late delivery, Driver behavior, Bad customer support",Always,3,3,25–50,No,30–50,4,No,Mobile App,Depends,7
